country,value
8,99.8
24,49.6
31,99.8
40,98.4
50,49.8
51,99.8
64,89
68,89.8
84,96.8
96,100
104,60.2
108,85.1
170,95.5
192,99.9
204,78.1
208,94.4
212,96
218,96.7
222,99.9
231,27.7
233,99.4
250,97.4
308,99.3
324,55.3
332,41.6
352,97.9
356,81.4
360,90.9
368,95.6
384,73.6
400,99.7
408,99.5
418,64.4
428,99.9
454,89.8
462,99.5
466,67.3
470,99.8
480,99.8
524,58
566,43.4
578,99.1
585,100
586,69.3
591,94.6
598,56.4
600,95.5
604,92.4
608,84.4
616,99.8
626,56.7
686,68.4
694,81.6
702,99.6
710,96.7
762,94.8
764,99.1
795,100
800,74.2
807,99.9
834,63.5
862,96.2
894,80.4
