country,value
4,72186
8,327
12,23598
20,2
24,92690
28,10
31,3370
32,6977
36,1146
40,306
44,68
48,151
50,89796
51,482
52,39
56,424
64,369
68,6399
70,158
72,2320
76,40429
84,98
90,416
96,73
100,422
104,41896
108,24412
112,360
116,9647
120,66071
124,1873
132,157
140,18095
144,2378
148,73024
152,1612
156,132256
170,10091
174,1656
178,8204
180,290859
188,599
191,176
192,591
196,29
203,350
204,37100
208,232
212,33
214,5768
218,4696
222,1552
226,3519
231,177849
232,4247
233,33
242,482
246,122
250,3251
262,1173
266,2807
268,513
270,4504
275,2771
276,2959
288,40168
296,164
300,302
308,30
320,10364
324,44114
328,453
332,16890
340,3480
348,335
352,8
356,824448
360,114994
364,21248
368,28801
372,203
376,624
380,1432
384,70330
388,652
392,2343
398,3976
400,3355
404,63623
408,6116
410,1200
414,448
417,2824
418,7520
422,839
426,4831
428,74
430,13365
434,1448
440,106
442,18
450,43110
454,25712
458,4513
462,54
466,73632
470,30
478,10699
480,206
484,31368
492,2
496,1183
498,584
499,17
504,14511
508,81507
512,1034
516,2954
520,9
524,17296
528,696
548,224
554,283
558,2212
562,81635
566,857899
578,145
583,75
584,44
585,4
586,399418
591,1175
598,10393
600,2774
604,7563
608,59751
616,1624
620,295
624,5111
626,1645
634,172
642,1317
643,10556
646,13310
659,11
662,48
670,23
674,0
678,198
682,3964
686,24651
688,441
690,23
694,27580
702,128
703,325
704,31689
705,42
706,72126
710,40631
716,24166
724,1221
728,36916
729,78028
740,191
748,1468
752,305
756,353
760,9195
762,9377
764,6444
768,17331
776,42
780,312
784,750
788,3398
792,13149
795,5793
798,7
800,74053
804,3514
807,137
818,52291
826,3313
834,103222
840,25352
854,64744
858,337
860,12045
862,12620
882,72
887,50312
894,38460
