country,value
4,55797
8,290
12,20237
20,2
24,63216
28,9
31,2989
32,6204
36,972
40,252
44,59
48,129
50,74488
51,427
52,36
56,340
64,309
68,5218
70,135
72,1793
76,36051
84,84
90,357
96,60
100,351
104,33490
108,17413
112,268
116,8273
120,44707
124,1639
132,134
140,13322
144,2025
148,45065
152,1372
156,112595
170,8676
174,1276
178,6015
180,228831
188,523
191,148
192,434
196,23
203,278
204,24542
208,201
212,30
214,4826
218,4046
222,1334
226,2632
231,129236
232,3178
233,25
242,405
246,98
250,2738
262,984
266,2075
268,454
270,3167
275,2373
276,2517
288,29628
296,129
300,264
308,27
320,8785
324,28820
328,377
332,12930
340,2995
348,277
352,6
356,678728
360,97168
364,18311
368,24347
372,173
376,505
380,1212
384,52538
388,560
392,1682
398,3529
400,2880
404,47065
408,4641
410,1014
414,380
417,2513
418,5999
422,720
426,3789
428,63
430,9886
434,1232
440,86
442,14
450,31456
454,19238
458,3872
462,46
466,47779
470,26
478,7437
480,183
484,26936
492,1
496,1015
498,499
499,15
504,12397
508,60805
512,892
516,2146
520,8
524,14362
528,595
548,190
554,235
558,1897
562,48796
566,548116
578,118
583,63
584,36
585,4
586,331594
591,1012
598,8349
600,2375
604,5876
608,47123
616,1388
620,243
624,3430
626,1424
634,148
642,1069
643,8983
646,10275
659,9
662,43
670,21
674,0
678,156
682,3379
686,17911
688,383
690,20
694,20472
702,103
703,264
704,25210
705,33
706,46547
710,32341
716,16769
724,1016
728,23920
729,55178
740,171
748,1143
752,248
756,314
760,7575
762,8229
764,5493
768,11947
776,36
780,277
784,641
788,2908
792,11272
795,4979
798,6
800,54462
804,2972
807,119
818,44628
826,2842
834,74787
840,21779
854,40438
858,289
860,10751
862,10891
882,62
887,37667
894,26739
