country,value
4,7700
8,5
12,1200
24,3000
28,1
31,44
32,290
36,20
40,4
44,4
48,3
50,5100
51,11
52,1
56,6
64,24
68,380
70,3
72,81
76,1700
84,3
90,22
96,2
100,6
104,2400
108,2400
112,3
116,590
120,4700
124,40
132,6
140,1400
144,120
148,7300
152,29
156,4900
170,610
174,72
178,650
180,16000
188,19
191,3
192,42
196,1
203,4
204,1600
208,2
214,200
218,200
222,54
226,130
231,14000
232,510
233,1
242,6
246,2
250,56
262,51
266,170
268,14
270,520
275,39
276,53
288,2700
296,3
300,2
308,0
320,400
324,2600
328,26
332,1300
340,130
348,11
352,0
356,35000
360,8600
364,250
368,870
372,3
376,5
380,7
384,5400
388,38
392,44
398,37
400,100
404,5000
408,310
410,43
414,7
417,95
418,310
422,34
426,310
428,4
430,1000
434,92
440,2
442,0
450,2800
454,2100
458,150
462,4
466,4400
470,0
478,1100
480,8
484,740
496,35
498,8
499,0
504,480
508,3100
512,17
516,140
524,1100
528,9
548,6
554,5
558,130
562,5100
566,67000
578,1
583,2
586,8300
591,41
598,340
600,180
604,500
608,2700
616,8
620,6
624,440
626,52
630,5
634,2
642,36
643,320
646,960
662,3
670,1
678,9
682,100
686,1700
688,10
690,1
694,2900
702,4
703,3
704,700
705,1
706,5100
710,1400
716,2100
724,14
728,4500
729,3900
740,13
748,130
752,5
756,4
760,130
762,46
764,270
768,1000
776,1
780,12
784,3
788,90
792,220
795,10
800,6000
804,83
807,2
818,960
826,52
834,11000
840,720
854,2400
858,8
860,200
862,670
882,2
887,1400
894,1300
