country,value
4,43424
8,251
12,16484
20,1
24,35358
28,5
31,1765
32,4583
36,726
40,184
44,36
48,65
50,55542
51,258
52,26
56,249
64,215
68,3598
70,111
72,999
76,22736
84,65
90,176
96,38
100,206
104,21134
108,9288
112,133
116,5257
120,23557
124,1285
132,94
140,6646
144,1416
148,22123
152,1044
156,63895
170,5482
174,797
178,3369
180,96760
188,425
191,105
192,246
196,16
203,179
204,12931
208,187
212,27
214,3989
218,2379
222,765
226,1289
231,98795
232,1863
233,14
242,202
246,70
250,1920
262,623
266,1359
268,258
270,2427
275,1528
276,1788
288,20399
296,72
300,178
308,20
320,5180
324,13960
328,287
332,6827
340,1907
348,182
352,4
356,522249
360,59591
364,13075
368,17203
372,128
376,329
380,858
384,30156
388,461
392,782
398,1757
400,1974
404,31343
408,3376
410,565
414,251
417,1880
418,3637
422,485
426,2401
428,37
430,5239
434,803
440,58
442,9
450,17607
454,12469
458,2448
462,34
466,25958
470,20
478,4820
480,130
484,18906
492,1
496,611
498,428
499,10
504,9187
508,32259
512,477
516,1343
520,6
524,11128
528,446
548,100
554,157
558,1352
562,25861
566,269897
578,83
583,41
584,21
585,2
586,248342
591,680
598,5160
600,1555
604,3653
608,28992
616,997
620,156
624,2329
626,742
634,90
642,644
643,4751
646,6261
659,7
662,28
670,14
674,0
678,94
682,2170
686,12156
688,265
690,14
694,8013
702,46
703,164
704,16587
705,23
706,23723
710,13489
716,11283
724,698
728,14976
729,37126
740,119
748,548
752,165
756,244
760,4545
762,4183
764,3759
768,6563
776,19
780,202
784,398
788,2381
792,6905
795,3233
798,5
800,32914
804,2047
807,87
818,28710
826,2142
834,42814
840,14546
854,19767
858,200
860,6827
862,7520
882,39
887,23220
894,14902
