country,value
4,38.2
8,11.3
32,7.9
50,30.8
51,9.4
68,16.1
104,29.4
108,54.2
120,28.9
140,40.8
144,17.3
170,12.7
204,32.2
231,36.8
270,13.6
276,1.7
288,17.5
324,30.3
332,21.9
356,34.7
360,30.5
368,12.6
384,21.6
408,19.1
414,6.4
417,11.8
418,33.1
426,34.6
430,30.1
450,41.6
454,39
458,20.7
466,26.9
478,22.8
484,10
496,9.4
504,15.1
512,11.4
524,36
562,48.5
566,36.8
584,34.8
586,37.6
600,5.6
604,12.2
608,30.3
686,18.8
694,29.5
704,23.8
710,27.4
716,23.5
762,17.5
764,10.5
768,23.8
788,8.4
792,6
800,28.9
834,31.8
840,3.5
854,24.9
860,10.8
894,34.6
