country,value
4,189
8,16
12,61
16,2.1
20,7.5
24,351
28,0
31,60
32,29
36,6.9
40,6.2
44,15
48,12
50,221
51,26
52,0
56,8.9
60,3.7
64,165
68,106
70,27
72,253
76,46
84,27
90,66
92,3.9
96,64
100,21
104,322
108,107
112,29
116,287
120,179
124,5.5
132,46
136,6
140,540
144,64
148,142
152,18
156,58
170,35
174,35
178,373
180,320
188,10
191,8
192,6.5
196,5.3
203,4.9
204,55
208,5
212,16
214,42
218,46
222,58
226,181
231,140
232,86
233,13
242,66
246,4.7
250,8.7
258,20
262,234
266,521
268,74
270,158
275,0.53
276,5.8
288,144
296,436
300,4.3
304,128
308,3.1
316,54
320,26
324,176
328,79
332,170
340,31
344,63
348,6.3
352,4.4
356,193
360,312
364,13
368,41
372,5.8
376,2.9
380,7.1
384,137
388,3.2
392,13
398,68
400,5.5
404,267
408,513
410,59
414,22
417,110
418,155
422,13
426,654
428,26
430,308
434,59
440,42
442,9
446,65
450,233
454,146
458,92
462,36
466,52
470,14
478,89
480,12
484,23
492,0
496,428
498,80
499,15
504,97
508,361
512,8.5
516,486
520,182
524,238
528,5
531,7.2
533,2.2
534,14
540,9.4
548,41
554,7.5
558,43
562,84
566,219
578,3.3
580,103
583,100
584,483
585,38
586,263
591,37
598,432
600,46
604,119
608,554
616,15
620,19
624,361
626,498
630,1.4
634,35
642,66
643,50
646,57
659,1.5
662,3.8
670,4.2
674,0
678,114
682,9.9
686,117
688,14
690,16
694,295
702,41
703,4.5
704,176
705,5.4
706,258
710,615
716,199
724,9.3
728,227
729,67
740,29
748,363
752,5.5
756,5.4
760,19
762,83
764,150
768,37
776,11
780,18
784,1
788,35
792,16
795,45
796,12
798,296
800,200
804,77
807,12
818,12
826,8
834,237
840,3
854,47
858,35
860,67
862,45
882,11
887,48
894,333
