country,value
8,33.2
24,51.3
32,41.4
40,29.7
50,32.4
51,34.4
56,27.4
64,37.4
68,42.2
76,53.9
100,40.4
104,30.7
112,25.2
124,33.3
144,39.8
152,44.4
156,38.5
170,50.4
188,48
191,30.4
196,31.4
203,24.9
208,28.7
214,43.7
218,45.4
222,38.6
233,30.4
246,27.4
250,31.6
262,41.6
266,38
268,36.4
275,33.7
276,31.9
288,43.5
300,34.4
340,52.1
348,30.6
360,37.8
364,40.8
372,32.8
376,39
380,35.9
398,27.5
417,27.7
426,44.9
428,35.6
430,35.3
440,37.3
442,34.9
454,44.7
462,31.3
470,29.2
480,36.8
484,45.4
496,32.7
498,25.7
528,28.5
566,35.1
578,27
591,49.2
600,46.2
604,42.8
616,29.7
620,33.8
642,36
643,37.5
646,43.7
662,51.2
678,56.3
688,36.2
694,35.7
703,25.2
704,35.7
705,24.2
716,44.3
724,34.7
748,54.6
752,28.8
756,32.7
764,36.4
792,41.9
800,42.8
804,26.1
807,34.2
818,31.5
826,34.8
834,40.5
840,41.1
858,39.7
