country,value
8,24.8
24,39.6
32,29.9
40,23
50,26.8
51,29.2
56,21.9
64,27.9
68,30.4
76,42.5
100,31.9
104,25.5
112,21.4
124,25.3
144,32.9
152,36.3
156,29.4
170,39.7
188,36.3
191,22.8
196,25.5
203,21.5
208,24
214,35.2
218,34.4
222,29.4
233,22.5
246,22.6
250,25.8
262,32.3
266,27.7
268,27.5
275,25.2
276,24.6
288,32.2
300,25.9
340,39.1
348,23.9
360,29.3
364,31.3
372,25.9
376,27.8
380,26.7
398,23
417,23.6
426,32.9
428,26.9
430,27.1
440,28.4
442,25.8
454,38.1
462,25.2
470,23.3
480,29.9
484,36.4
496,25.7
498,22
528,23.3
566,26.7
578,21.6
591,37.1
600,35.9
604,32.1
616,23.5
620,26.7
642,24.9
643,29.9
646,35.6
662,38.6
678,49.1
688,25.6
694,29.4
703,19.9
704,27.5
705,20.4
716,34.8
724,25.4
748,42.7
752,22.3
756,25.5
764,28.2
792,32.6
800,34.2
804,22
807,23.8
818,26.9
826,26.8
834,33.1
840,30.4
858,29.7
