country,value
8,3.1
24,1.3
32,1.8
40,3
50,3.7
51,3.3
56,3.3
64,2.7
68,1.5
76,1
100,1.9
104,3.8
112,4.3
124,2.7
144,2.9
152,2.3
156,2.7
170,1.4
188,1.5
191,2.7
196,3.4
203,4.2
208,3.7
214,2.3
218,1.6
222,2.4
233,3
246,3.8
250,3.2
262,1.9
266,2.2
268,2.4
275,2.9
276,2.9
288,1.6
300,2.4
340,0.9
348,3
360,2.9
364,2.3
372,3.1
376,1.9
380,1.9
398,4.3
417,4.3
426,1.7
428,2.3
430,2.9
440,2.1
442,2.4
454,2.6
462,3.4
470,3.4
480,2.9
484,2
496,3.3
498,4.4
528,3.5
566,2.9
578,3.3
591,1.2
600,1.7
604,1.8
616,3.2
620,2.7
642,1.6
643,2.9
646,2.4
662,0.9
678,1.3
688,1.4
694,3.4
703,2.9
704,2.5
705,4.1
716,2.5
724,2.1
748,1.4
752,3
756,3.1
764,3
792,2.2
800,2.5
804,4.2
807,1.7
818,3.8
826,2.8
834,2.9
840,1.8
858,2.3
