country,value
4,2728853
8,15027
12,4514
24,8178
28,117
31,11626
32,99
36,20
40,18
44,501
48,557
50,22880
51,10962
52,243
56,34
64,6980
68,514
70,16556
72,228
76,1399
84,73
90,27
100,561
104,1078268
108,381508
112,3425
116,11986
120,66305
124,71
132,10
136,6
140,610203
144,110348
148,11192
152,486
156,212863
170,189448
174,658
178,13481
180,807374
188,206
191,23793
192,6631
196,7
203,1166
204,716
208,5
212,50
214,546
218,1652
222,41850
226,156
231,95685
232,505118
233,269
242,591
246,5
250,50
262,2351
266,440
268,7519
270,17813
275,96318
276,69
288,18425
300,95
308,80
320,22770
324,26857
328,284
332,26734
340,26370
344,5
348,4007
352,5
356,11979
360,12051
364,129676
368,344460
376,452
380,76
384,39364
388,2529
392,39
398,2757
400,2384
404,8018
408,758
410,180
414,1300
417,2963
418,6757
422,5801
426,6
428,144
430,5375
434,16033
440,61
442,5
446,5
450,298
454,606
458,1154
462,75
466,164461
470,5
478,37423
480,178
484,14621
492,5
496,2364
498,2427
499,659
504,4637
508,77
512,42
516,459
524,8192
528,55
531,35
554,34
558,4376
562,3063
566,295569
578,5
584,7
586,137190
591,45
598,475
600,84
604,2765
608,552
616,961
620,25
624,2093
626,17
634,36
642,1352
643,62343
646,246698
659,57
662,843
670,979
678,28
682,1762
686,17203
688,31251
690,15
694,5268
702,39
703,1343
704,316441
705,19
706,905109
710,441
716,10603
724,51
728,2234814
729,734947
740,17
748,217
752,13
756,5
760,6616983
762,1987
764,482
768,8022
776,32
780,307
784,155
788,2068
792,83271
795,478
796,14
800,7479
804,59839
807,1784
818,27506
826,69
834,849
840,298
854,11733
858,15
860,3217
862,93280
887,36518
894,261
