country,value
4,90.76541
8,98.53003
12,99.20801
28,99.29605
31,99.23063
32,99.85158
40,99.76727
48,99.4653
51,98.26575
64,99.58045
68,97.30542
70,97.91047
84,97.35556
90,88.21561
96,99.80164
100,99.33268
108,76.29475
112,98.15973
116,89.84526
132,94.41203
144,99.43399
152,97.90418
188,91.70589
191,98.58482
192,98.45096
196,99.74383
203,99.94707
208,99.94342
214,93.1639
218,99.59274
222,95.17199
232,94.74082
233,99.82892
246,99.89739
262,86.24763
268,99.68743
275,96.97746
276,99.50305
288,93.71321
300,98.93394
308,97.70955
320,90.16632
344,99.93234
348,99.50456
356,91.25519
360,91.4969
364,95.73712
376,99.58369
380,99.95024
384,91.94192
388,97.05363
392,99.9955
398,99.53347
400,97.97957
410,99.6427
414,97.79018
417,99.76481
418,86.18363
422,96.2329
428,98.9753
430,79.62714
438,97.79227
440,99.21346
446,99.20049
458,91.04953
462,98.8576
466,78.305
470,98.89143
478,65.559
480,99.41551
484,96.57231
496,99.27289
498,98.26174
499,99.83167
504,90.51535
512,98.32518
524,82.38135
578,99.67424
586,87.50431
591,99.19081
604,95.42862
608,96.59469
616,99.7691
626,93.20697
634,98.91265
642,99.54848
646,72.66696
662,98.22616
670,95.1108
678,96.98227
682,97.98066
686,72.97542
688,99.69101
690,97.36477
694,90.46347
702,99.1262
703,99.10713
705,99.96649
724,99.97225
729,91.99148
740,66.37433
748,98.051
752,99.57036
756,99.91574
762,99.49038
764,98.49383
768,81.99249
788,97.70665
800,58.95045
804,99.70087
818,96.55541
826,99.98111
834,70.98982
840,99.2321
854,80.10901
860,99.70878
862,98.55073
882,96.19274
