country,value
4,6544906
8,167104
12,4516571
20,4322
28,10123
31,645392
32,4753843
36,2247875
40,339021.84375
44,29504
48,115819
50,17338100
51,154409
52,19895
56,821236
64,94165
68,1379099
70,157304
76,15951913
84,50388
90,105428
92,2529
96,39236
100,262735
104,5299765
108,2212532
112,427752
116,2163143
120,4399897
124,2407006
132,64127
136,4299
140,813767
144,1725424
148,2468784
152,1540085
156,104325248
170,4303833
174,124240
180,16807014
188,497065
191,161740
192,750567
196,57079
203,583522
204,2180896
208,468362
212,6144
214,1300211
218,1932261
222,662740
232,349753
233,88107
242,121666
246,368852
250,4302412
262,69134
268,316542
270,374678
275,497002
276,2987112
288,4549875
292,2889
296,16695
300,643187
308,13195
320,2365800
324,1776560
340,1103956
344,376310
348,373837
352,32421
356,120064160
360,29425748
364,8171667
372,564304
376,936214
380,2870763
384,4003884
388,232694
392,6504523
398,1461448
400,1147202
404,8290450
408,1507780
410,2719358
414,276318
417,551210
418,770659
422,516514
426,367931
428,121674
430,635478
438,1999
440,116626
442,38173
446,32530
450,4648600
454,4593328
458,3084630
462,49373
466,2477081
470,26532
478,677458
480,85730
484,14061377
492,1971
496,311063
498,139612
499,39085
504,4432229
508,6940864
512,290045
516,490719
520,1856
524,3970016
528,1175018
554,388279
562,2666748
566,25591180
578,447355
583,13819
584,7234
586,23557724
591,418852
598,1275085
600,727363
604,3715130
608,13418841
616,2277483
620,621660
626,206512
630,208544
634,159109
642,947931
643,6927980
646,2512465
659,5452
662,15693
670,13198
674,1653
678,37172
682,3390589
686,2171967
688,264194
690,9383
694,1770368
702,233553
703,229456
704,8506562
705,129123
710,7568387
724,3043396
729,4899664
740,68147
748,237074
752,893495
756,514664
762,771040
764,4899076
768,1584376
784,486086
788,1201736
792,5104599
795,557184
796,3680
798,1688
800,8840589
804,1724664
807,109818
818,13265036
826,4892502
834,10605430
840,24957956
854,3233784
858,296791
860,2505930
862,3285299
882,33841
887,3900134
894,3284841
