country,value
4,50.1407
8,86.60827
28,88.78981
31,88.53256
32,90.79605
36,92.28431
40,87.00131
44,62.4958
48,90.19346
50,66.54968
52,93.63078
56,94.94691
64,70.19893
68,76.55438
76,81.72855
84,71.149
92,68.10811
96,82.64549
100,89.05757
104,64.05857
108,27.52277
112,95.63948
120,45.99349
124,99.80968
132,70.42826
140,12.71989
144,91.03783
148,18.8551
152,88.65187
170,77.47078
174,50.35748
188,82.44799
191,92.39267
192,84.18162
196,95.337
203,90.51857
208,90.92146
212,87.73568
214,70.60614
218,84.67039
222,61.83092
232,41.57501
233,94.36474
246,96.1047
250,94.66595
268,95.94754
275,87.22641
276,85.29882
288,57.24406
292,93.83962
300,93.34588
308,87.72998
320,43.77665
340,43.77822
344,96.14117
348,89.27911
352,91.2734
360,78.73112
364,81.37533
372,98.6613
376,98.63822
380,94.66346
384,40.19814
388,73.96802
398,99.83989
400,62.59678
410,98.00711
417,84.38733
418,60.0122
426,41.35206
428,93.79965
438,85.94145
440,98.42562
442,83.58238
446,86.42111
450,29.84739
454,34.23885
458,72.21113
466,29.92706
470,92.96077
478,30.97658
480,84.30832
484,81.15596
498,77.95594
499,89.07485
504,64.4924
512,96.19256
520,71.80984
524,61.87253
528,93.16439
554,96.86035
562,20.06691
578,95.60786
584,55.85237
586,37.40039
591,63.79138
598,32.38128
604,89.30975
616,94.08406
620,94.66479
626,62.73563
630,75.91911
642,82.84805
643,90.67886
646,35.87144
659,98.00256
662,81.31252
670,89.47196
674,66.54351
682,96.36052
686,37.66861
688,92.06535
690,80.06115
694,41.76675
702,99.78462
703,84.75751
705,95.68577
710,71.92661
724,96.87779
752,99.06336
756,85.32946
768,41.01339
784,92.79992
792,87.22819
798,66.72794
818,82.77635
826,97.13247
834,26.54777
840,92.45022
854,31.00148
858,88.21273
860,90.85635
862,73.24477
882,85.51776
887,47.59088
