country,value
8,3359
12,16430
28,66
31,55687
32,18743
36,9614
40,143
44,8533
48,2770
51,14928
52,212
56,4131
64,3252
68,95364
84,221
90,4351
92,48
96,225
100,39977
104,91889
108,140973
112,5544
116,190043
120,346513
124,5025
132,3973
136,511
144,9296
148,723879
152,19351
170,85793
174,22667
188,555
191,2766
192,5703
196,329
203,2386
204,120970
208,2813
212,228
214,45804
218,24550
222,95746
232,241988
233,1946
242,576
246,4885
250,1763
262,30897
268,1998
270,54332
275,17559
276,19808
288,35432
292,8
296,645
300,9246
308,94
320,248887
324,425413
340,151457
344,8187
348,17172
352,19
360,1555014
364,16911
372,10
376,2791
380,89218
384,199358
388,46930
398,12924
400,261790
410,25225
414,7290
417,2574
418,64860
426,7408
428,1382
430,159479
438,3
440,201
442,369
446,373
450,80511
458,10381
462,1009
466,1343000
470,57
478,156142
480,1209
484,93645
496,2151
498,16045
499,2
504,16064
508,143339
512,7923
516,5999
520,40
524,103384
528,4252
554,1109
562,1647273
578,2
583,1474
584,2351
591,58658
598,86115
604,47585
608,500780
616,50722
620,2425
626,9004
630,55942
634,2949
642,135701
643,10839
646,121348
659,54
662,260
670,58
674,79
678,2100
682,58970
686,681296
688,4887
690,224
694,6104
702,476
703,10196
705,294
710,845478
724,91786
729,2443016
740,7676
748,33794
752,892
756,402
762,4181
768,40071
784,5636
792,266561
798,231
807,781
818,90674
826,32122
834,1434649
840,141533
854,748275
858,380
860,15291
862,324992
882,387
887,649902
894,495692
